2020/05/18 12:26:51 [error] 7#7: *1 directory index of "/var/www/html/" is forbidden, client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", host: "192.168.6.220:8010"
2020/05/18 12:27:05 [error] 7#7: *3 directory index of "/var/www/html/" is forbidden, client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", host: "192.168.6.220:8010"
2020/05/18 12:28:16 [crit] 7#7: *3 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:28:16 [error] 7#7: *3 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:28:54 [crit] 7#7: *3 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:28:54 [error] 7#7: *3 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:28:56 [crit] 7#7: *6 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:28:56 [error] 7#7: *6 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:28:57 [crit] 7#7: *3 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:28:57 [error] 7#7: *3 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:28:58 [crit] 7#7: *3 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:28:58 [error] 7#7: *3 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:28:58 [crit] 7#7: *6 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:28:58 [error] 7#7: *6 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:31:41 [crit] 7#7: *18 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:31:41 [error] 7#7: *18 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:33:50 [crit] 7#7: *1 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:33:50 [error] 7#7: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:34:28 [crit] 9#9: *1 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:34:28 [error] 9#9: *1 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.44, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
2020/05/18 12:34:28 [crit] 9#9: *4 connect() to unix:/var/run/php/php7.2-fpm.sock failed (2: No such file or directory) while connecting to upstream, client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "192.168.6.220:8010"
2020/05/18 12:34:28 [error] 9#9: *4 open() "/usr/share/nginx/html/50x.html" failed (2: No such file or directory), client: 192.171.92.27, server: 192.168.6.220:8010, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock", host: "192.168.6.220:8010"
